#id arrival runtime priority
1	9	24	8
2	9	21	6
3	15	1	10
4	20	25	0
5	20	17	4
6	29	9	9
7	31	7	8
8	31	26	6
9	41	10	5
10	47	14	4
11	54	27	9
12	58	24	7
13	68	20	2
14	76	8	6
15	84	22	10
16	84	10	2
17	91	9	3
18	95	13	1
19	104	27	5
20	107	11	10
21	113	0	10
22	117	27	10
23	117	25	6
24	118	16	6
25	125	15	6
26	131	19	4
27	137	15	5
28	145	25	2
29	154	28	9
30	155	27	1
31	155	4	8
32	163	27	7
33	170	15	4
34	173	4	8
35	180	28	8
36	182	6	6
37	188	7	9
38	198	23	6
39	199	20	9
40	208	16	5
41	216	17	5
42	221	20	10
43	221	12	2
44	225	4	4
45	226	5	2
46	234	21	4
47	237	18	10
48	239	12	3
49	245	2	4
50	249	20	5
51	257	4	5
52	259	28	3
53	269	0	6
54	279	19	1
55	282	28	1
56	285	25	3
57	292	29	9
58	297	26	4
59	305	11	9
60	315	5	1
61	319	26	10
62	329	10	2
63	329	16	4
64	335	27	9
65	340	3	5
66	344	8	7
67	351	12	0
68	354	21	5
69	361	13	4
70	366	16	7
71	370	10	7
72	373	3	7
73	379	24	7
74	389	9	7
75	395	22	6
76	396	8	8
77	402	10	7
78	408	16	9
79	418	10	8
80	419	6	5
81	427	4	8
82	429	20	8
83	438	10	6
84	444	10	10
85	444	18	4
86	450	23	4
87	451	12	9
88	460	16	4
89	465	22	7
90	468	12	5
91	476	5	5
92	479	27	8
93	488	12	5
94	492	15	9
95	493	3	9
96	498	23	8
97	505	24	3
98	508	9	2
99	515	29	7
100	519	0	4
